timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
2200,10.798347,0.857421,7.149951,0.864050,0.005056,0.820332,0.080300,0.003850,0.110988,27.605375,0.169716,27.337894
2300,11.816463,0.308980,8.316579,0.882925,0.010214,0.835980,0.077400,0.010314,0.102591,28.197100,0.286801,27.552696
2400,11.564089,1.430381,9.128456,0.885325,0.013680,0.848316,0.074025,0.007670,0.095450,28.002200,0.340022,27.665072
2500,11.334866,1.435968,9.680059,0.896700,0.014986,0.860412,0.063950,0.007040,0.087575,28.346775,0.111865,27.835498
2600,11.349045,1.465698,10.097305,0.900400,0.004186,0.870409,0.056425,0.005979,0.079787,28.478750,0.234085,27.996311
2700,11.813578,1.208815,10.526374,0.898475,0.012109,0.877426,0.053950,0.010317,0.073328,28.313700,0.172417,28.075658
2800,12.194911,0.553978,10.943508,0.910475,0.004036,0.885688,0.049400,0.011646,0.067346,28.192625,0.252179,28.104900
2900,13.153895,0.858373,11.496105,0.914500,0.009712,0.892891,0.049075,0.009292,0.062778,28.202700,0.211689,28.129350
3000,13.699039,0.556558,12.046838,0.924475,0.008944,0.900787,0.050500,0.013996,0.059709,28.374375,0.153355,28.190606
3100,13.876008,0.162475,12.504131,0.927125,0.007965,0.907372,0.036725,0.003642,0.053963,28.319250,0.305544,28.222767
3200,13.923698,0.906451,12.859023,0.928075,0.018078,0.912547,0.036600,0.012114,0.049622,28.464875,0.207221,28.283294
3300,13.795962,1.042407,13.093257,0.940050,0.008698,0.919423,0.042050,0.005296,0.047729,28.359425,0.290386,28.302327
3400,13.856730,1.492356,13.284126,0.943300,0.014059,0.925392,0.039275,0.008112,0.045616,28.452300,0.439729,28.339820
3500,14.180486,1.301145,13.508216,0.950400,0.007438,0.931644,0.033450,0.009524,0.042574,28.588550,0.216979,28.402003
3600,15.222461,1.291648,13.936777,0.955900,0.009632,0.937708,0.034550,0.009286,0.040568,28.668275,0.204565,28.468571
3700,15.430585,1.007577,14.310229,0.954875,0.013262,0.942000,0.037575,0.005858,0.039820,28.862150,0.267534,28.566966
3800,16.120801,1.409753,14.762872,0.959850,0.012381,0.946462,0.032575,0.008022,0.038009,28.850325,0.139191,28.637805
3900,16.761322,0.249210,15.262485,0.961975,0.008104,0.950341,0.027525,0.011666,0.035388,28.607500,0.263492,28.630229
4000,16.547423,0.878246,15.583719,0.965075,0.005983,0.954024,0.028575,0.005877,0.033685,28.484250,0.188564,28.593734
4100,16.557759,1.530728,15.827229,0.961075,0.011933,0.955787,0.032975,0.006184,0.033507,28.570650,0.332453,28.587963
4200,15.871082,1.256061,15.838193,0.957875,0.005237,0.956309,0.029450,0.007649,0.032493,28.429050,0.254161,28.548235
4300,15.991956,1.458320,15.876633,0.964200,0.010554,0.958282,0.029350,0.004400,0.031707,28.659975,0.291402,28.576170
4400,16.410007,1.345659,16.009977,0.957125,0.009275,0.957993,0.025050,0.006669,0.030043,28.390175,0.257848,28.529671
4500,17.190661,1.159457,16.305148,0.962950,0.003897,0.959232,0.020025,0.008400,0.027538,28.720800,0.169503,28.577453
4600,17.654916,1.245932,16.642590,0.972900,0.008767,0.962649,0.025425,0.002261,0.027010,28.784850,0.275815,28.629303
4700,17.678341,0.684626,16.901528,0.972300,0.009274,0.965062,0.026000,0.004088,0.026758,28.770725,0.122841,28.664658
4800,16.956233,0.532918,16.915204,0.963475,0.014529,0.964665,0.022150,0.008204,0.025606,28.940075,0.140087,28.733512
4900,16.726052,0.881484,16.867916,0.966225,0.011899,0.965055,0.019000,0.003557,0.023954,28.862975,0.215121,28.765878
5000,16.167707,1.153381,16.692864,0.969700,0.009228,0.966216,0.016325,0.006376,0.022047,28.951325,0.256091,28.812240
5100,16.456081,0.948602,16.633668,0.977450,0.006161,0.969025,0.022675,0.003942,0.022204,28.694225,0.110349,28.782736
5200,16.471821,1.463537,16.593206,0.979775,0.006609,0.971712,0.021450,0.005850,0.022015,28.859000,0.300484,28.801802
5300,16.512213,1.270967,16.572958,0.975775,0.009404,0.972728,0.022325,0.002417,0.022093,28.598900,0.191300,28.751077
5400,17.363505,1.192807,16.770595,0.977325,0.007023,0.973877,0.019550,0.007988,0.021457,28.646550,0.105805,28.724945
5500,17.864584,1.035978,17.044092,0.978550,0.008754,0.975045,0.021500,0.008151,0.021468,28.677325,0.137383,28.713040
5600,17.872501,0.596201,17.251194,0.972850,0.012493,0.974497,0.027725,0.007460,0.023032,28.836075,0.249812,28.743799
5700,17.782709,0.836835,17.384073,0.974775,0.006874,0.974566,0.018800,0.004736,0.021974,28.811575,0.166902,28.760743
5800,17.426184,0.817463,17.394601,0.981650,0.014413,0.976337,0.018450,0.007208,0.021093,29.046425,0.287636,28.832163
5900,17.207292,1.052522,17.347774,0.975600,0.005637,0.976153,0.015525,0.005650,0.019701,29.092425,0.239789,28.897229
6000,17.727740,1.529591,17.442765,0.976000,0.011584,0.976115,0.015625,0.007678,0.018682,28.927500,0.152697,28.904797
6100,18.208520,1.379035,17.634204,0.976425,0.008005,0.976192,0.019275,0.003293,0.018830,28.964350,0.239511,28.919685
6200,18.537330,0.843926,17.859985,0.981000,0.003352,0.977394,0.015550,0.009856,0.018010,28.775750,0.183833,28.883701
6300,19.055066,0.775114,18.158755,0.970875,0.015130,0.975764,0.024225,0.006373,0.019564,28.845375,0.233144,28.874120
6400,18.938170,0.205930,18.353609,0.976175,0.006126,0.975867,0.017950,0.006600,0.019160,28.700950,0.108414,28.830827
6500,18.365982,0.730313,18.356702,0.986150,0.008009,0.978438,0.022825,0.006816,0.020077,28.858850,0.090067,28.837833
6600,17.312116,0.826007,18.095556,0.979575,0.005197,0.978722,0.018700,0.010927,0.019732,28.779825,0.247892,28.823331
6700,16.919635,0.878095,17.801575,0.978125,0.002874,0.978573,0.019575,0.006184,0.019693,28.937675,0.244442,28.851917
6800,17.321091,1.250362,17.681454,0.975625,0.014265,0.977836,0.016125,0.010743,0.018801,28.739725,0.167077,28.823869
6900,17.397144,1.302452,17.610377,0.977150,0.011307,0.977664,0.019325,0.002886,0.018932,29.036100,0.353756,28.876927
7000,17.917819,1.370121,17.687237,0.979200,0.006701,0.978048,0.021800,0.003101,0.019649,28.991525,0.301089,28.905576
7100,18.116366,1.445674,17.794520,0.979975,0.011747,0.978530,0.014225,0.004647,0.018293,29.008725,0.139998,28.931363
7200,18.223916,0.460944,17.901869,0.976550,0.009908,0.978035,0.014425,0.005688,0.017326,28.952875,0.240657,28.936741
7300,17.654060,0.329011,17.839917,0.974550,0.003375,0.977164,0.014300,0.010257,0.016570,28.830250,0.178940,28.910119
7400,17.481261,0.960653,17.750253,0.978175,0.010272,0.977417,0.014675,0.002582,0.016096,28.825650,0.215860,28.889001
7500,17.226576,0.885994,17.619333,0.978750,0.008340,0.977750,0.018700,0.006411,0.016747,28.692200,0.090392,28.839801
7600,17.578991,1.268346,17.609248,0.980175,0.006988,0.978356,0.019750,0.003406,0.017498,28.659250,0.118118,28.794663
7700,18.456860,1.385625,17.821151,0.976775,0.009828,0.977961,0.019600,0.006163,0.018023,28.771775,0.144968,28.788941
7800,18.882997,1.146948,18.086612,0.981525,0.007982,0.978852,0.016975,0.008240,0.017761,28.825000,0.266055,28.797956
7900,18.988603,1.402069,18.312110,0.980075,0.008956,0.979158,0.018425,0.005048,0.017927,28.994150,0.185109,28.847004
8000,19.408274,0.601746,18.586151,0.980625,0.005140,0.979525,0.010800,0.002906,0.016145,29.131000,0.152002,28.918003
