timesteps,mean_return_mean,mean_return_std,mean_return_smooth_mean,success_rate_mean,success_rate_std,success_rate_smooth_mean,collision_rate_mean,collision_rate_std,collision_rate_smooth_mean,mean_speed_mean,mean_speed_std,mean_speed_smooth_mean
499,23.700315,18.228633,17.014813,0.458700,0.039929,0.364553,0.545267,0.049627,0.542494,9.514167,0.150482,9.705795
524,13.605988,21.605926,16.162607,0.449567,0.055281,0.385806,0.528933,0.104295,0.539104,9.873767,0.370918,9.747788
549,16.195015,13.067561,16.170709,0.345967,0.066653,0.375846,0.546933,0.067388,0.541061,10.587633,0.948458,9.957749
574,36.774995,25.619021,21.321780,0.378067,0.061450,0.376401,0.517300,0.067034,0.535121,9.993867,0.809211,9.966779
599,46.140970,19.134041,27.526578,0.491867,0.041635,0.405268,0.478733,0.056760,0.521024,9.329800,0.448440,9.807534
624,46.890053,1.970060,32.367447,0.461333,0.055042,0.419284,0.438200,0.031325,0.500318,10.339800,0.639285,9.940601
649,11.970768,14.121352,27.268277,0.410500,0.067524,0.417088,0.426967,0.027965,0.481980,9.950267,0.551853,9.943017
674,-12.509162,25.709060,17.323917,0.374233,0.020296,0.406374,0.425000,0.115180,0.467735,10.935233,0.836892,10.191071
699,3.110431,4.535018,13.770546,0.492033,0.080181,0.427789,0.377367,0.018693,0.445143,11.282767,0.513714,10.463995
724,10.539228,27.324056,12.962716,0.547600,0.050652,0.457742,0.334400,0.078670,0.417457,10.861233,1.442056,10.563305
749,23.679202,21.971941,15.641838,0.496567,0.051099,0.467448,0.376500,0.075856,0.407218,11.196767,0.749430,10.721670
774,21.661037,7.402877,17.146638,0.519367,0.073642,0.480428,0.433000,0.047969,0.413663,11.215067,0.468079,10.845019
799,6.016700,27.261096,14.364153,0.560967,0.087700,0.500562,0.419667,0.058024,0.415164,11.206267,0.676123,10.935331
824,-13.407310,17.105081,7.421287,0.569867,0.082684,0.517889,0.358700,0.042908,0.401048,11.724200,0.310380,11.132548
849,-2.298099,11.478467,4.991441,0.543300,0.057210,0.524241,0.399267,0.079552,0.400603,11.302133,0.598875,11.174945
874,15.083854,25.750819,7.514544,0.550367,0.019218,0.530773,0.416167,0.122420,0.404494,11.168633,0.288357,11.173367
899,40.757179,13.031104,15.825203,0.541467,0.098294,0.533446,0.337667,0.167350,0.387787,10.550633,0.294034,11.017683
924,44.221524,8.760995,22.924283,0.522933,0.131556,0.530818,0.315467,0.039363,0.369707,11.776400,0.156604,11.207363
949,18.692532,26.169065,21.866345,0.529100,0.061472,0.530388,0.268967,0.024192,0.344522,11.345433,0.048816,11.241880
974,10.990836,12.610093,19.147468,0.588200,0.050539,0.544841,0.269433,0.026449,0.325750,12.152433,0.239288,11.469519
999,18.644883,11.345291,19.021822,0.531733,0.090520,0.541564,0.311867,0.067501,0.322279,12.594300,0.225711,11.750714
1024,41.493086,16.427384,24.639638,0.505033,0.048828,0.532432,0.343433,0.020058,0.327568,11.701567,0.869353,11.738427
1049,44.339940,11.617051,29.564713,0.592067,0.030603,0.547340,0.279067,0.026106,0.315442,12.237067,0.063231,11.863087
1074,49.847629,12.815627,34.635442,0.635367,0.054811,0.569347,0.359233,0.144845,0.326390,12.511667,0.178992,12.025232
1099,29.055060,22.277248,33.240347,0.663500,0.030036,0.592885,0.409867,0.081748,0.347259,12.588200,1.394439,12.165974
1124,17.174201,17.294705,29.223810,0.632867,0.119590,0.602881,0.312167,0.016919,0.338486,12.275133,0.735559,12.193264
1149,5.484136,6.332128,23.288892,0.630733,0.028879,0.609844,0.269033,0.066985,0.321123,12.476967,0.160736,12.264190
1174,14.807210,22.500183,21.168471,0.686000,0.023338,0.628883,0.223033,0.092195,0.296601,11.991700,0.252804,12.196067
1199,33.575366,23.974247,24.270195,0.650467,0.049298,0.634279,0.329433,0.065675,0.304809,12.314800,0.702184,12.225750
1224,32.614427,10.774398,26.356253,0.649500,0.048776,0.638084,0.271633,0.062477,0.296515,11.933467,0.218314,12.152679
1249,15.237543,14.424023,23.576576,0.628700,0.016242,0.635738,0.195433,0.069948,0.271244,11.528567,0.588014,11.996651
1274,2.750230,17.244910,18.369989,0.679900,0.033065,0.646779,0.260667,0.050974,0.268600,12.532567,0.167824,12.130630
1299,4.398901,1.468809,14.877217,0.735067,0.051085,0.668851,0.225667,0.087224,0.257867,12.970400,0.366027,12.340573
1324,28.239648,19.821934,18.217825,0.624733,0.080708,0.657821,0.340133,0.031725,0.278433,13.055867,0.323956,12.519396
1349,41.923669,9.997294,24.144286,0.672833,0.018775,0.661574,0.261100,0.073412,0.274100,13.105233,0.270944,12.665855
1374,35.221446,12.024499,26.913576,0.658433,0.050925,0.660789,0.201667,0.026993,0.255992,12.942033,0.341295,12.734900
1399,32.267539,21.948419,28.252067,0.652967,0.047743,0.658833,0.238067,0.023568,0.251510,13.607900,0.769592,12.953150
1424,18.940660,3.670412,25.924215,0.615100,0.076793,0.647900,0.167167,0.105482,0.230424,13.412967,0.352989,13.068104
1449,29.228962,1.154150,26.750402,0.695933,0.038709,0.659908,0.287967,0.038587,0.244810,13.747467,0.623503,13.237945
1474,39.770244,17.317877,30.005362,0.681467,0.028140,0.665298,0.275300,0.042913,0.252433,13.575667,0.859202,13.322375
1499,55.965069,7.720795,36.495289,0.621433,0.013553,0.654332,0.227300,0.051489,0.246149,13.128067,0.710369,13.273798
1524,52.147614,4.742987,40.408370,0.704033,0.039341,0.666757,0.238567,0.022566,0.244254,12.694600,0.892615,13.128999
1549,37.956753,15.109829,39.795466,0.688300,0.037233,0.672143,0.246733,0.070200,0.244874,13.163867,0.635940,13.137716
1574,22.524066,13.416341,35.477616,0.720200,0.049765,0.684157,0.228133,0.045613,0.240689,12.976100,0.760872,13.097312
1599,15.348268,1.471029,30.445279,0.709900,0.034686,0.690593,0.245600,0.046391,0.241916,12.578633,0.663315,12.967642
1624,31.032340,18.637245,30.592044,0.756633,0.029816,0.707103,0.228233,0.044644,0.238496,13.102533,0.189914,13.001365
1649,40.171902,14.736652,32.987009,0.632767,0.032174,0.688519,0.146500,0.055858,0.215497,13.469967,0.131544,13.118515
1674,35.648732,1.938203,33.652440,0.742333,0.048067,0.701973,0.233300,0.032129,0.219948,12.937533,0.340413,13.073270
1699,28.268798,20.788880,32.306529,0.737700,0.061382,0.710904,0.288000,0.021236,0.236961,13.286267,0.402836,13.126519
1724,9.197705,17.990856,26.529323,0.734900,0.076780,0.716903,0.192867,0.066900,0.225937,13.752033,0.326619,13.282898
1749,10.098421,6.414091,22.421598,0.742800,0.081019,0.723377,0.233600,0.027356,0.227853,13.931067,0.427933,13.444940
1774,27.252062,8.207872,23.629214,0.697000,0.021265,0.716783,0.164800,0.050887,0.212090,13.483700,0.480255,13.454630
1799,32.424967,16.762660,25.828152,0.705967,0.014565,0.714079,0.201300,0.002334,0.209392,13.709867,0.933809,13.518439
1824,43.001179,9.326119,30.121409,0.771833,0.037979,0.728518,0.235300,0.069805,0.215869,13.370633,0.308119,13.481488
1849,31.536830,14.703122,30.475264,0.739367,0.068722,0.731230,0.188267,0.047448,0.208969,13.553633,0.679468,13.499524
1874,20.834614,13.703767,28.065101,0.758767,0.011996,0.738114,0.203967,0.070220,0.207718,13.266767,0.576240,13.441335
1899,28.057512,2.418072,28.063204,0.729367,0.021087,0.735927,0.171567,0.053012,0.198680,13.790533,0.299883,13.528634
1924,35.583164,10.337583,29.943194,0.726433,0.034252,0.733554,0.168433,0.040003,0.191119,13.016333,0.620629,13.400559
1949,49.564385,14.027808,34.848492,0.746567,0.011270,0.736807,0.129367,0.029575,0.175681,13.532400,0.791930,13.433519
1974,46.169401,7.891659,37.678719,0.723533,0.048586,0.733489,0.183367,0.084638,0.177602,13.222467,0.291406,13.380756
1999,32.525771,17.223427,36.390482,0.694367,0.101196,0.723708,0.179567,0.025930,0.178093,13.670233,0.518887,13.453125
2024,30.641059,8.829174,34.953126,0.743967,0.045775,0.728773,0.209833,0.028865,0.186028,13.561867,0.228015,13.480311
2049,28.867627,3.208917,33.431751,0.777867,0.078202,0.741046,0.123300,0.052166,0.170346,14.031233,0.718693,13.618041
2074,35.525980,8.429720,33.955308,0.744967,0.033966,0.742026,0.175633,0.055182,0.171668,14.045000,0.251197,13.724781
2099,38.252505,6.832921,35.029608,0.784733,0.015617,0.752703,0.180267,0.044798,0.173818,14.305667,0.238364,13.870002
2124,39.599562,4.801945,36.172096,0.770000,0.029707,0.757027,0.181633,0.045818,0.175772,13.889833,0.488618,13.874960
2149,28.413255,12.532961,34.232386,0.755033,0.039043,0.756529,0.161133,0.063126,0.172112,13.467900,0.240733,13.773195
2174,22.516636,5.258963,31.303448,0.778167,0.022872,0.761938,0.208033,0.031571,0.181092,13.909967,0.592063,13.807388
2199,18.867437,4.707544,28.194446,0.756633,0.069369,0.760612,0.133400,0.007161,0.169169,13.831433,0.343546,13.813399
2224,25.430001,9.209667,27.503334,0.736967,0.008206,0.754701,0.144467,0.034313,0.162994,13.872167,0.611103,13.828091
2249,36.792109,9.724021,29.825528,0.770900,0.017240,0.758751,0.144300,0.034421,0.158320,13.610267,0.700086,13.773635
2274,29.517948,6.733741,29.748633,0.731667,0.067759,0.751980,0.153500,0.031644,0.157115,13.560900,0.305843,13.720451
2299,32.042469,11.759886,30.322092,0.753367,0.025849,0.752326,0.135233,0.053971,0.151645,14.444433,0.426485,13.901447
2324,27.160749,6.068978,29.531756,0.732900,0.008114,0.747470,0.146533,0.024869,0.150367,13.667533,0.521024,13.842968
2349,29.298242,4.174620,29.473378,0.755200,0.010032,0.749402,0.112467,0.009264,0.140892,13.762733,0.569603,13.822910
2374,32.131104,4.022472,30.137810,0.795200,0.034074,0.760852,0.149667,0.024253,0.143086,14.033233,0.377033,13.875491
2399,41.535130,7.825283,32.987140,0.790833,0.014056,0.768347,0.155033,0.008560,0.146072,14.246033,0.375499,13.968126
2424,44.722526,2.824566,35.920986,0.795333,0.027682,0.775094,0.149433,0.027922,0.146913,14.083167,0.149535,13.996886
2449,39.896874,5.606720,36.914958,0.774100,0.032222,0.774845,0.127367,0.041809,0.142026,14.092867,0.194970,14.020881
2474,32.485873,9.796717,35.807687,0.779267,0.037224,0.775951,0.154167,0.004973,0.145061,14.228567,0.557873,14.072803
2499,32.458304,1.737607,34.970341,0.775167,0.025308,0.775755,0.182567,0.044462,0.154438,14.339200,0.454241,14.139402
2524,29.884437,6.968475,33.698865,0.781500,0.052355,0.777191,0.179667,0.032974,0.160745,13.943700,0.482755,14.090477
2549,36.640274,4.471228,34.434217,0.794200,0.037660,0.781443,0.165833,0.026167,0.162017,14.219533,0.712370,14.122741
2574,40.046597,2.249463,35.837312,0.767700,0.006943,0.778007,0.139200,0.010893,0.156313,14.198000,0.306991,14.141556
2599,30.308353,7.340581,34.455072,0.771400,0.045242,0.776356,0.140733,0.021425,0.152418,14.017133,0.482361,14.110450
2624,23.487430,5.688025,31.713162,0.758667,0.010806,0.771933,0.151667,0.027828,0.152230,13.906867,0.270385,14.059554
2649,21.856088,2.700217,29.248893,0.791167,0.014393,0.776742,0.152833,0.028491,0.152381,13.885667,0.409644,14.016082
2674,29.895089,3.435870,29.410442,0.780467,0.013892,0.777673,0.155133,0.014688,0.153069,14.251067,0.215737,14.074828
2699,32.914112,7.034180,30.286360,0.802700,0.016043,0.783930,0.121700,0.006096,0.145227,14.149433,0.486224,14.093480
2724,35.756419,0.320580,31.653875,0.798033,0.038443,0.787456,0.155067,0.023482,0.147687,14.099433,0.283715,14.094968
2749,31.658546,4.634102,31.655042,0.775067,0.042097,0.784358,0.132233,0.010842,0.143823,14.194467,0.461096,14.119843
2774,31.028246,4.958189,31.498343,0.774867,0.023721,0.781985,0.137533,0.021585,0.142251,14.426400,0.236821,14.196482
2799,29.249650,1.305754,30.936170,0.799900,0.024517,0.786464,0.122367,0.022944,0.137280,14.362500,0.237371,14.237987
2824,33.153479,4.124681,31.490497,0.791967,0.012447,0.787840,0.148133,0.035144,0.139993,14.262833,0.499986,14.244198
2849,37.277732,5.269001,32.937306,0.803567,0.026126,0.791771,0.123233,0.009967,0.135803,14.421767,0.344018,14.288590
2874,40.107866,2.678824,34.729946,0.803167,0.024041,0.794620,0.147267,0.027149,0.138669,14.234700,0.560709,14.275118
2899,37.980676,4.628947,35.542628,0.791067,0.023633,0.793732,0.143933,0.036409,0.139985,14.359133,0.434726,14.296122
2924,34.638383,2.319559,35.316567,0.791900,0.024609,0.793274,0.143367,0.003349,0.140831,14.147300,0.570173,14.258916
2949,32.406460,2.589881,34.589040,0.794000,0.021376,0.793455,0.137100,0.042554,0.139898,14.259600,0.454230,14.259087
2974,33.179418,3.057793,34.236635,0.819433,0.029587,0.799950,0.128067,0.026438,0.136940,14.060600,0.357554,14.209465
2999,37.683171,2.353540,35.098269,0.794000,0.031910,0.798462,0.135967,0.024137,0.136697,14.227200,0.481379,14.213899
