init,     2026-04-23 11:48:26.671955
arguments,Namespace(lr=0.00032, gamma=0.998, entropy=0.18, PPO_epochs=4, eps_clip=0.12, alg='ppo', cuda=0, thread=2, train_num=8000, train_envs=8, val_interval_timesteps=2500, val_episodes=20, eval_episodes=30, final_eval_episodes=30, rep=11, seed=54, ignore_checkpoint=True, monitor_time=False, allow_long_train=True, eval_only=False, eval_checkpoint='best', eval_save_details=False, eval_artifact_stem='', task='gymip', model='rwtaspk', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, rollout_steps=896, mini_batch_size=224, gae_lambda=0.99, adv_norm=1, reward_scale=0.9, grad_clip=0.4, critic_lr=0.00032, curriculum_mode='adaptive', curriculum_clean_ratio=0.99, max_noise=0.008, entropy_min=0.1, entropy_decay=1.0, entropy_warmup_scale=1.1, entropy_warmup_episodes=50, curriculum_patience=4, curriculum_noise_step=0.001, curriculum_entropy_decay=0.95, lane_profile='legacy', road_scenario='highway', traffic_level='dense', highway_reward_stage='c_success', warm_start_kind='none', warm_start_prefix='')
seed,     54
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/logs
parallel, train_envs 8
train,    1, 2, -5.405536,    2, 1.00,    2, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train_t,  9, 162, -9.041170,   23, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.015, speed 18.500, term collision
train,    10, 166, 52.990879,    4, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.192, speed 19.921, term collision
train_t,  10, 166, 52.990879,    4, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.192, speed 19.921, term collision
train,    11, 211, 48.427863,   45, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.123, speed 19.600, term collision
train_t,  11, 211, 48.427863,   45, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.123, speed 19.600, term collision
train,    12, 305, 97.970283,   94, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.590, speed 23.937, term success
train_t,  12, 305, 97.970283,   94, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.590, speed 23.937, term success
train,    13, 423, 182.956638,  118, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 20.928, term success
train_t,  13, 423, 182.956638,  118, 0.00,   17, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 20.928, term success
train,    14, 484, 99.598218,   61, 0.00,   12, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.536, speed 24.339, term success
train_t,  14, 484, 99.598218,   61, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.536, speed 24.339, term success
train,    15, 538, 16.788235,   54, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.281, speed 21.326, term collision
train_t,  15, 538, 16.788235,   54, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.281, speed 21.326, term collision
train,    16, 570, 25.203838,   32, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.391, speed 18.908, term collision
train_t,  16, 570, 25.203838,   32, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.391, speed 18.908, term collision
train,    17, 572, 5.538268,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.786, term collision
train_t,  17, 572, 5.538268,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.786, term collision
train,    18, 574, 80.763360,    2, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.711, speed 24.741, term collision
train_t,  18, 574, 80.763360,    2, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.711, speed 24.741, term collision
train,    19, 576, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.995, term collision
train_t,  19, 576, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.995, term collision
train,    20, 661, 123.607511,   85, 0.00,   15, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.777, speed 23.529, term success
train_t,  20, 661, 123.607511,   85, 0.00,    7, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.777, speed 23.529, term success
train,    21, 663, -45.000000,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.110, speed 23.702, term collision
train_t,  21, 663, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.110, speed 23.702, term collision
train,    22, 783, 122.561849,  120, 0.00,   12, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.839, speed 26.918, term success
train_t,  22, 783, 122.561849,  120, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.839, speed 26.918, term success
train,    23, 785, -45.000000,    2, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 28.033, term collision
train_t,  23, 785, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 28.033, term collision
train,    24, 787, 14.008020,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.169, term collision
train_t,  24, 787, 14.008020,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.169, term collision
train,    25, 789, 41.252357,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.080, speed 24.218, term collision
train_t,  25, 789, 41.252357,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.080, speed 24.218, term collision
train,    26, 791, -45.000000,    2, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.055, speed 22.213, term collision
train_t,  26, 791, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.055, speed 22.213, term collision
train,    27, 799, 75.285685,    8, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.288, speed 20.189, term collision
train_t,  27, 799, 75.285685,    8, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.288, speed 20.189, term collision
train,    28, 801, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.028, speed 23.619, term collision
train_t,  28, 801, -45.000000,    2, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.028, speed 23.619, term collision
train,    29, 822, -23.140892,   21, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.410, term collision
train_t,  29, 822, -23.140892,   21, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.410, term collision
train,    30, 824, -32.696441,    2, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.426, term collision
train_t,  30, 824, -32.696441,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.426, term collision
train,    31, 826, 52.154068,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.388, term collision
train_t,  31, 826, 52.154068,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.388, term collision
train,    32, 860, 165.992395,   34, 0.00,   14, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.913, speed 20.766, term success
train_t,  32, 860, 165.992395,   34, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.913, speed 20.766, term success
train,    33, 934, 29.884584,   74, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.573, speed 19.500, term success
train_t,  33, 934, 29.884584,   74, 0.00,   14, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.573, speed 19.500, term success
train,    34, 964, 35.307764,   30, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.654, speed 21.157, term collision
train_t,  34, 964, 35.307764,   30, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.654, speed 21.157, term collision
train,    35, 1016, 17.834766,   52, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.657, speed 24.308, term collision
train_t,  35, 1016, 17.834766,   52, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.657, speed 24.308, term collision
train,    36, 1037, 93.176630,   21, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.654, speed 23.428, term collision
train_t,  36, 1037, 93.176630,   21, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.654, speed 23.428, term collision
train,    37, 1146, 52.163026,  109, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 20.792, term success
train_t,  37, 1146, 52.163026,  109, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 20.792, term success
train,    38, 1235, 175.901070,   89, 0.00,   11, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.896, speed 22.719, term success
train_t,  38, 1235, 175.901070,   89, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.896, speed 22.719, term success
train,    39, 1297, 145.000000,   62, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.759, speed 22.134, term collision
train_t,  39, 1297, 145.000000,   62, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.759, speed 22.134, term collision
train,    40, 1417, 174.738396,  120, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.733, speed 28.283, term success
train_t,  40, 1417, 174.738396,  120, 0.00,   12, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.733, speed 28.283, term success
train,    41, 1470, 30.324553,   53, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.331, speed 21.843, term collision
train_t,  41, 1470, 30.324553,   53, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.331, speed 21.843, term collision
train,    42, 1590, 57.369880,  120, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.646, speed 23.274, term success
train_t,  42, 1590, 57.369880,  120, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.646, speed 23.274, term success
train,    43, 1621, -26.085789,   31, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.129, speed 20.386, term collision
train_t,  43, 1621, -26.085789,   31, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.129, speed 20.386, term collision
train,    44, 1682, 33.155348,   61, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.322, speed 19.994, term collision
train_t,  44, 1682, 33.155348,   61, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.322, speed 19.994, term collision
train,    45, 1684, -6.752534,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.509, term collision
train_t,  45, 1684, -6.752534,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.509, term collision
train,    46, 1686, 25.036546,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.168, speed 21.761, term collision
train_t,  46, 1686, 25.036546,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.168, speed 21.761, term collision
train,    47, 1718, 87.192976,   32, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.128, speed 22.960, term collision
train_t,  47, 1718, 87.192976,   32, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.128, speed 22.960, term collision
train,    48, 1792, 225.000000,   74, 0.00,   12, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.807, speed 21.750, term success
train_t,  48, 1792, 225.000000,   74, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.807, speed 21.750, term success
train,    49, 1817, 126.471148,   25, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.126, speed 23.329, term collision
train_t,  49, 1817, 126.471148,   25, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.126, speed 23.329, term collision
train,    50, 1819, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.383, term collision
train_t,  50, 1819, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.383, term collision
update,   50,    1,   1819, 18.060799, -0.000000
train,    51, 1915, 12.174607,   96, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.600, speed 27.025, term collision
train_t,  51, 1915, 12.174607,   96, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.600, speed 27.025, term collision
train,    52, 1935, 15.834161,   20, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.196, speed 21.996, term collision
train_t,  52, 1935, 15.834161,   20, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.196, speed 21.996, term collision
train,    53, 1962, 65.050352,   27, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.368, speed 18.500, term collision
train_t,  53, 1962, 65.050352,   27, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.368, speed 18.500, term collision
train,    54, 2024, 105.590048,   62, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.486, speed 21.476, term collision
train_t,  54, 2024, 105.590048,   62, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.486, speed 21.476, term collision
train,    55, 2026, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.065, speed 19.659, term collision
train_t,  55, 2026, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.065, speed 19.659, term collision
train,    56, 2028, 76.623364,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.365, term collision
train_t,  56, 2028, 76.623364,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.365, term collision
train,    57, 2046, -24.919775,   18, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.204, speed 21.868, term collision
train_t,  57, 2046, -24.919775,   18, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.204, speed 21.868, term collision
train,    58, 2142, 130.475121,   96, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 22.713, term collision
train_t,  58, 2142, 130.475121,   96, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 22.713, term collision
train,    59, 2164, 48.631644,   22, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.187, speed 19.797, term collision
train_t,  59, 2164, 48.631644,   22, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.187, speed 19.797, term collision
train,    60, 2248, -15.000000,   84, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.682, speed 21.808, term success
train_t,  60, 2248, -15.000000,   84, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.682, speed 21.808, term success
train,    61, 2250, -34.976637,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.056, speed 21.810, term collision
train_t,  61, 2250, -34.976637,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.056, speed 21.810, term collision
train,    62, 2252, 61.437533,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.576, term collision
train_t,  62, 2252, 61.437533,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.576, term collision
train,    63, 2254, -45.000000,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.086, speed 21.393, term collision
train_t,  63, 2254, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.086, speed 21.393, term collision
train,    64, 2256, 93.331340,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.072, speed 26.843, term collision
train_t,  64, 2256, 93.331340,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.072, speed 26.843, term collision
train,    65, 2258, 125.683592,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.203, term collision
train_t,  65, 2258, 125.683592,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.203, term collision
train,    66, 2287, 14.847359,   29, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.260, speed 25.779, term collision
train_t,  66, 2287, 14.847359,   29, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.260, speed 25.779, term collision
train,    67, 2362, -13.692496,   75, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 19.751, term success
train_t,  67, 2362, -13.692496,   75, 0.00,   17, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 19.751, term success
train,    68, 2364, -1.620780,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.088, term collision
train_t,  68, 2364, -1.620780,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.088, term collision
train,    69, 2484, 30.998290,  120, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.703, speed 23.869, term success
train_t,  69, 2484, 30.998290,  120, 0.00,   12, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.703, speed 23.869, term success
train,    70, 2486, -2.171334,    2, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.615, speed 24.181, term collision
train_t,  70, 2486, -2.171334,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.615, speed 24.181, term collision
train,    71, 2488, -44.530571,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 26.210, term collision
train_t,  71, 2488, -44.530571,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 26.210, term collision
train,    72, 2505, 60.865585,   17, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.482, term collision
train_t,  72, 2505, 60.865585,   17, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.482, term collision
train,    73, 2507, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.899, term collision
train_t,  73, 2507, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 24.899, term collision
train,    74, 2509, -45.000000,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 26.573, term collision
train_t,  74, 2509, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 26.573, term collision
train,    75, 2557, -41.267554,   48, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.504, speed 26.940, term collision
train_t,  75, 2557, -41.267554,   48, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.504, speed 26.940, term collision
train,    76, 2584, -45.000000,   27, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.539, speed 18.500, term collision
train_t,  76, 2584, -45.000000,   27, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.539, speed 18.500, term collision
train,    77, 2646, 145.000000,   62, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.437, speed 28.011, term collision
train_t,  77, 2646, 145.000000,   62, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.437, speed 28.011, term collision
train,    78, 2724, -41.070939,   78, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.674, speed 22.022, term collision
train_t,  78, 2724, -41.070939,   78, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.674, speed 22.022, term collision
train,    79, 2784, 86.231560,   60, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.552, speed 20.668, term collision
train_t,  79, 2784, 86.231560,   60, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.552, speed 20.668, term collision
train,    80, 2798, -45.000000,   14, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.682, term collision
train_t,  80, 2798, -45.000000,   14, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.682, term collision
train,    81, 2800, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.968, term collision
train_t,  81, 2800, -45.000000,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.968, term collision
train,    82, 2830, 47.993789,   30, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.327, speed 18.500, term collision
