init,     2026-04-23 11:48:26.766157
note,     ILLUSTRATIVE DEMO LOG - ours dense, slightly better than baseline dense demo; not experimental data
arguments,Namespace(lr=0.00032, gamma=0.998, entropy=0.18, PPO_epochs=4, eps_clip=0.12, alg='ppo', cuda=0, thread=2, train_num=8000, train_envs=8, val_interval_timesteps=2500, val_episodes=20, eval_episodes=30, final_eval_episodes=30, rep=11, seed=55, ignore_checkpoint=True, monitor_time=False, allow_long_train=True, eval_only=False, eval_checkpoint='best', eval_save_details=False, eval_artifact_stem='', task='gymip', model='rwtaspk', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, rollout_steps=896, mini_batch_size=224, gae_lambda=0.99, adv_norm=1, reward_scale=0.9, grad_clip=0.4, critic_lr=0.00032, curriculum_mode='adaptive', curriculum_clean_ratio=0.99, max_noise=0.008, entropy_min=0.1, entropy_decay=1.0, entropy_warmup_scale=1.1, entropy_warmup_episodes=50, curriculum_patience=4, curriculum_noise_step=0.001, curriculum_entropy_decay=0.95, lane_profile='legacy', road_scenario='highway', traffic_level='dense', highway_reward_stage='c_success', warm_start_kind='none', warm_start_prefix='')
seed,     55
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/ours/highway_dense/logs
parallel, train_envs 8
train,    1, 2, 52.907861,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.563, term collision
train,    11, 215, 52.873967,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.843, term collision
train_t,  11, 215, 52.873967,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.843, term collision
train,    12, 255, 77.679112,   40, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.571, speed 25.220, term collision
train_t,  12, 255, 77.679112,   40, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.571, speed 25.220, term collision
train,    13, 293, 16.935463,   38, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.475, speed 18.500, term collision
train_t,  13, 293, 16.935463,   38, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.475, speed 18.500, term collision
train,    14, 329, 38.311193,   36, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.097, speed 24.480, term collision
train_t,  14, 329, 38.311193,   36, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.097, speed 24.480, term collision
train,    15, 342, 83.936402,   13, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 28.300, term collision
train_t,  15, 342, 83.936402,   13, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 28.300, term collision
train,    16, 462, 30.274638,  120, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 26.300, term success
train_t,  16, 462, 30.274638,  120, 0.00,   16, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 26.300, term success
train,    17, 505, 37.995911,   43, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.025, speed 22.529, term collision
train_t,  17, 505, 37.995911,   43, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.025, speed 22.529, term collision
train,    18, 507, -1.936705,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.067, speed 18.685, term collision
train_t,  18, 507, -1.936705,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.067, speed 18.685, term collision
train,    19, 509, 95.136758,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.333, speed 18.500, term collision
train_t,  19, 509, 95.136758,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.333, speed 18.500, term collision
train,    20, 550, -8.447840,   41, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.087, speed 23.896, term collision
train_t,  20, 550, -8.447840,   41, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.087, speed 23.896, term collision
train,    21, 621, 145.000000,   71, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.360, speed 25.975, term collision
train_t,  21, 621, 145.000000,   71, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.360, speed 25.975, term collision
train,    22, 623, 27.984360,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.263, speed 25.331, term collision
train_t,  22, 623, 27.984360,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.263, speed 25.331, term collision
train,    23, 625, 4.040616,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.095, speed 18.500, term collision
train_t,  23, 625, 4.040616,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.095, speed 18.500, term collision
train,    24, 661, 13.484336,   36, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.633, speed 20.949, term success
train_t,  24, 661, 13.484336,   36, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.633, speed 20.949, term success
train,    25, 663, -45.000000,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.327, term collision
train_t,  25, 663, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.327, term collision
train,    26, 678, -45.000000,   15, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.265, term collision
train_t,  26, 678, -45.000000,   15, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.265, term collision
train,    27, 680, -45.000000,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.151, speed 21.107, term collision
train_t,  27, 680, -45.000000,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.151, speed 21.107, term collision
train,    28, 720, -45.000000,   40, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.057, speed 23.856, term collision
train_t,  28, 720, -45.000000,   40, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.057, speed 23.856, term collision
train,    29, 730, 36.973132,   10, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.266, speed 20.217, term collision
train_t,  29, 730, 36.973132,   10, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.266, speed 20.217, term collision
train,    30, 732, -33.874672,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.151, speed 23.352, term collision
train_t,  30, 732, -33.874672,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.151, speed 23.352, term collision
train,    31, 825, -11.161001,   93, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 27.913, term collision
train_t,  31, 825, -11.161001,   93, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 27.913, term collision
train,    32, 916, 80.282481,   91, 0.00,   11, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.669, speed 22.271, term success
train_t,  32, 916, 80.282481,   91, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.669, speed 22.271, term success
train,    33, 1007, 83.317537,   91, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.613, speed 25.661, term collision
train_t,  33, 1007, 83.317537,   91, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.613, speed 25.661, term collision
train,    34, 1062, 41.122502,   55, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.316, speed 23.162, term collision
train_t,  34, 1062, 41.122502,   55, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.316, speed 23.162, term collision
train,    35, 1064, -32.367419,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.585, term collision
train_t,  35, 1064, -32.367419,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.585, term collision
train,    36, 1081, 23.684115,   17, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.346, speed 21.433, term collision
train_t,  36, 1081, 23.684115,   17, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.346, speed 21.433, term collision
train,    37, 1083, 112.059597,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.321, speed 23.217, term collision
train_t,  37, 1083, 112.059597,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.321, speed 23.217, term collision
train,    38, 1094, 31.382422,   11, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.362, speed 23.457, term collision
train_t,  38, 1094, 31.382422,   11, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.362, speed 23.457, term collision
train,    39, 1134, -2.651520,   40, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.429, speed 20.503, term success
train_t,  39, 1134, -2.651520,   40, 0.00,   11, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.429, speed 20.503, term success
train,    40, 1195, 138.259581,   61, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 18.500, term collision
train_t,  40, 1195, 138.259581,   61, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.800, speed 18.500, term collision
train,    41, 1197, 38.894684,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.128, term collision
train_t,  41, 1197, 38.894684,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.128, term collision
train,    42, 1317, 95.520023,  120, 0.00,    8, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.522, speed 24.432, term success
train_t,  42, 1317, 95.520023,  120, 0.00,    8, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.522, speed 24.432, term success
train,    43, 1319, -45.000000,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.351, term collision
train_t,  43, 1319, -45.000000,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.351, term collision
train,    44, 1371, 76.167930,   52, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.411, speed 24.287, term collision
train_t,  44, 1371, 76.167930,   52, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.411, speed 24.287, term collision
train,    45, 1373, 20.649144,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.943, term collision
train_t,  45, 1373, 20.649144,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.943, term collision
train,    46, 1383, -32.163057,   10, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.821, term collision
train_t,  46, 1383, -32.163057,   10, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 19.821, term collision
train,    47, 1385, 110.275974,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.314, speed 23.747, term collision
train_t,  47, 1385, 110.275974,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.314, speed 23.747, term collision
train,    48, 1387, 111.436971,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.168, term collision
train_t,  48, 1387, 111.436971,    2, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 21.168, term collision
train,    49, 1405, 31.223832,   18, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.603, speed 27.920, term collision
train_t,  49, 1405, 31.223832,   18, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.603, speed 27.920, term collision
train,    50, 1407, 80.121659,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.019, term collision
train_t,  50, 1407, 80.121659,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 23.019, term collision
update,   50,    1,   1407, -2.479708, -0.000000
train,    51, 1428, -31.124238,   21, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.335, speed 18.964, term collision
train_t,  51, 1428, -31.124238,   21, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.335, speed 18.964, term collision
train,    52, 1430, 80.341189,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.280, speed 22.981, term collision
train_t,  52, 1430, 80.341189,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.280, speed 22.981, term collision
train,    53, 1432, -5.077800,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.109, speed 20.636, term collision
train_t,  53, 1432, -5.077800,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.109, speed 20.636, term collision
train,    54, 1434, 9.815555,    2, 1.00,    4, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.697, term collision
train_t,  54, 1434, 9.815555,    2, 1.00,    2, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 20.697, term collision
train,    55, 1436, -40.036389,    2, 1.00,    2, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train_t,  55, 1436, -40.036389,    2, 1.00,    5, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 18.500, term collision
train,    56, 1506, 225.000000,   70, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 24.514, term success
train_t,  56, 1506, 225.000000,   70, 0.00,   14, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 24.514, term success
train,    57, 1554, -45.000000,   48, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.281, speed 20.018, term collision
train_t,  57, 1554, -45.000000,   48, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.281, speed 20.018, term collision
train,    58, 1556, 25.976432,    2, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.312, speed 26.321, term collision
train_t,  58, 1556, 25.976432,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.312, speed 26.321, term collision
train,    59, 1676, 96.528085,  120, 0.00,   11, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 23.174, term success
train_t,  59, 1676, 96.528085,  120, 0.00,   15, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 1.000, speed 23.174, term success
train,    60, 1700, 46.433902,   24, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.594, speed 22.659, term collision
train_t,  60, 1700, 46.433902,   24, 1.00,   14, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.594, speed 22.659, term collision
train,    61, 1716, 37.923452,   16, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.206, speed 19.165, term collision
train_t,  61, 1716, 37.923452,   16, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.206, speed 19.165, term collision
train,    62, 1824, 164.414552,  108, 0.00,    7, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.357, speed 25.694, term success
train_t,  62, 1824, 164.414552,  108, 0.00,    6, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.357, speed 25.694, term success
train,    63, 1828, 73.156788,    4, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.283, speed 24.473, term collision
train_t,  63, 1828, 73.156788,    4, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.283, speed 24.473, term collision
train,    64, 1921, 131.907596,   93, 0.00,   14, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.737, speed 22.652, term success
train_t,  64, 1921, 131.907596,   93, 0.00,   10, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.737, speed 22.652, term success
train,    65, 1923, 38.919016,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.193, speed 26.125, term collision
train_t,  65, 1923, 38.919016,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.193, speed 26.125, term collision
train,    66, 1961, 1.295956,   38, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.116, speed 18.703, term collision
train_t,  66, 1961, 1.295956,   38, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.116, speed 18.703, term collision
train,    67, 2060, 225.000000,   99, 0.00,   15, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.858, speed 23.492, term success
train_t,  67, 2060, 225.000000,   99, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.858, speed 23.492, term success
train,    68, 2127, 100.822193,   67, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.573, speed 26.613, term collision
train_t,  68, 2127, 100.822193,   67, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.573, speed 26.613, term collision
train,    69, 2129, 77.140232,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.173, speed 20.677, term collision
train_t,  69, 2129, 77.140232,    2, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.173, speed 20.677, term collision
train,    70, 2131, 34.315086,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.128, speed 25.161, term collision
train_t,  70, 2131, 34.315086,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.128, speed 25.161, term collision
train,    71, 2186, 97.583943,   55, 1.00,   10, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.421, speed 28.300, term collision
train_t,  71, 2186, 97.583943,   55, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.421, speed 28.300, term collision
train,    72, 2203, -30.068352,   17, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.175, speed 20.895, term collision
train_t,  72, 2203, -30.068352,   17, 1.00,    3, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.175, speed 20.895, term collision
train,    73, 2221, 38.711423,   18, 1.00,    6, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.654, term collision
train_t,  73, 2221, 38.711423,   18, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.010, speed 25.654, term collision
train,    74, 2223, -45.000000,    2, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.137, speed 23.176, term collision
train_t,  74, 2223, -45.000000,    2, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.137, speed 23.176, term collision
train,    75, 2295, 85.082374,   72, 1.00,   12, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.790, speed 21.464, term collision
train_t,  75, 2295, 85.082374,   72, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.790, speed 21.464, term collision
train,    76, 2301, -45.000000,    6, 1.00,    1, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.030, speed 20.917, term collision
train_t,  76, 2301, -45.000000,    6, 1.00,    9, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.030, speed 20.917, term collision
train,    77, 2408, 127.148602,  107, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.745, speed 21.048, term success
train_t,  77, 2408, 127.148602,  107, 0.00,    7, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.745, speed 21.048, term success
train,    78, 2410, 52.326938,    2, 1.00,    8, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.232, speed 23.554, term collision
train_t,  78, 2410, 52.326938,    2, 1.00,    7, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.232, speed 23.554, term collision
train,    79, 2458, -15.000000,   48, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.416, speed 25.873, term success
train_t,  79, 2458, -15.000000,   48, 0.00,    9, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.416, speed 25.873, term success
train,    80, 2491, 225.000000,   33, 0.00,   11, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.676, speed 25.143, term success
train_t,  80, 2491, 225.000000,   33, 0.00,   13, 0.000, 0.000, 0.180, 40, success 1.00, timeout 0.00, progress 0.676, speed 25.143, term success
train,    81, 2560, -10.637649,   69, 1.00,   11, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.577, speed 20.381, term collision
train_t,  81, 2560, -10.637649,   69, 1.00,   13, 0.000, 0.000, 0.180, 40, success 0.00, timeout 0.00, progress 0.577, speed 20.381, term collision
